,GapToLeader,Incidents,GapToLeaderText
167,67466,1,01:07.466
168,67486,1,01:07.486
169,67957,1,01:07.957
170,68399,1,01:08.399
171,69243,1,01:09.243
172,69258,1,01:09.258
173,69619,1,01:09.619
174,70009,2,01:10.009
175,70261,1,01:10.261
176,70478,2,01:10.478
177,70804,1,01:10.804
178,71265,1,01:11.265
179,71790,1,01:11.790
180,71907,1,01:11.907
181,72463,1,01:12.463
182,73863,1,01:13.863
183,74194,1,01:14.194
184,74512,1,01:14.512
185,75219,1,01:15.219
186,75267,1,01:15.267
187,75715,1,01:15.715
188,76065,1,01:16.065
189,76239,1,01:16.239
190,76401,1,01:16.401
191,77295,2,01:17.295
192,77993,1,01:17.993
193,78398,1,01:18.398
194,80496,4,01:20.496
195,80706,1,01:20.706
196,81994,1,01:21.994
197,83391,1,01:23.391
198,84002,2,01:24.002
199,84025,1,01:24.025
200,84129,1,01:24.129
201,84549,1,01:24.549
202,84793,1,01:24.793
203,85686,1,01:25.686
204,86003,1,01:26.003
205,87084,1,01:27.084
206,87315,2,01:27.315
207,87675,1,01:27.675
208,88040,1,01:28.040
209,88598,5,01:28.598
210,88945,1,01:28.945
211,89262,1,01:29.262
212,89563,1,01:29.563
213,89710,1,01:29.710
214,89785,1,01:29.785
215,90102,2,01:30.102
216,90176,1,01:30.176
217,90459,1,01:30.459
218,90815,2,01:30.815
219,91279,1,01:31.279
220,91478,1,01:31.478
221,92006,1,01:32.006
222,92795,1,01:32.795
223,92835,1,01:32.835
224,93735,1,01:33.735
225,93749,1,01:33.749
226,93963,1,01:33.963
227,94024,1,01:34.024
228,94155,2,01:34.155
229,94290,1,01:34.290
230,94307,1,01:34.307
231,94565,1,01:34.565
232,95179,1,01:35.179
233,95462,1,01:35.462
234,95600,1,01:35.600
235,95665,1,01:35.665
236,96797,1,01:36.797
237,97909,1,01:37.909
238,98191,1,01:38.191
239,98211,2,01:38.211
240,98346,1,01:38.346
241,99420,2,01:39.420
242,99525,1,01:39.525
243,99815,1,01:39.815
244,100605,1,01:40.605
245,102299,1,01:42.299
246,102456,1,01:42.456
247,102512,1,01:42.512
248,102623,1,01:42.623
249,102840,1,01:42.840
250,105979,1,01:45.979
251,108678,1,01:48.678
252,108927,1,01:48.927
253,109515,1,01:49.515
254,109775,1,01:49.775
255,110079,1,01:50.079
256,113884,1,01:53.884
257,114172,1,01:54.172
258,114444,2,01:54.444
259,114750,1,01:54.750
260,114906,1,01:54.906
261,114937,1,01:54.937
262,115094,1,01:55.094
